customer_id,order_number,delivery_date,delivery_week,final_payment_status,time_to_pay,payment_method,custom_meal_selection,state,channel,engagement_score,num_prior_orders_failed,num_prior_orders_unpaid,avg_recipe_rating
1290,23755,20200203,2020-W06,Paid,1,Z,Yes,F,O,47,22,0,2.50
1303,3285,20200203,2020-W06,Paid,4,Z,Yes,E,O,15,0,0,
1304,9834,20200201,2020-W06,Paid,5,Z,No,E,O,54,1,0,
1309,11922,20200201,2020-W06,Paid,4,W,Yes,B,F2,51,6,0,3.06
1315,6380,20200203,2020-W06,Paid,1,Z,No,B,D,77,2,0,
1322,18818,20200201,2020-W06,Paid,5,Z,Yes,D,A1,6,3,0,4.00
1339,13662,20200201,2020-W06,Paid,528,Z,Yes,D,F2,4,2,1,
1342,18161,20200203,2020-W06,Paid,5,W,No,E,D,73,1,0,4.00
1344,11480,20200201,2020-W06,Cancelled,,X,Unknown,B,F3,1,0,0,
1345,7970,20200203,2020-W06,Paid,26,W,Yes,B,A2,3,0,0,
1375,9578,20200201,2020-W06,Paid,18,X,Yes,B,F2,28,7,0,3.67
1384,1604,20200201,2020-W06,Paid,49,Z,No,B,D,26,4,0,
1409,22735,20200201,2020-W06,Refunded,1,Z,Unknown,F,F1,3,2,0,
1410,19295,20200203,2020-W06,Paid,1,Z,Yes,F,F1,14,1,0,
1413,2240,20200202,2020-W06,Paid,22,Z,Yes,D,O,20,4,0,3.26
1415,6360,20200202,2020-W06,Paid,5,W,Yes,B,E,53,13,4,
1419,10696,20200203,2020-W06,Paid,77,Z,No,F,F1,10,2,0,
1432,24509,20200202,2020-W06,Paid,1,W,Yes,E,F2,1,0,0,
1436,19562,20200201,2020-W06,Paid,16,Z,No,F,A1,22,9,0,
1438,9523,20200203,2020-W06,Paid,5,Z,Yes,B,D,132,48,5,
1441,10925,20200202,2020-W06,Paid,5,Z,Yes,E,F2,8,6,0,
1442,1757,20200201,2020-W06,Paid,22,Z,No,E,F2,3,0,0,
1446,11286,20200203,2020-W06,Paid,23,Z,Yes,D,H,46,19,0,4.00
1448,14824,20200201,2020-W06,Unpaid,,Z,Yes,E,A2,10,7,2,
1450,21582,20200201,2020-W06,Paid,1,W,Yes,F,A2,7,0,0,
1463,3364,20200201,2020-W06,Paid,2,Z,No,F,F2,13,0,0,
1464,20047,20200202,2020-W06,Paid,5,W,Yes,D,F2,36,19,0,
1472,13796,20200202,2020-W06,Paid,52,W,Yes,F,O,9,7,0,
1477,10794,20200203,2020-W06,Paid,15,W,No,E,F2,13,6,0,3.50
1478,10262,20200203,2020-W06,Paid,2,Z,Yes,B,F2,19,2,1,
1490,12145,20200203,2020-W06,Paid,5,W,Yes,E,O,58,13,0,
1501,5443,20200203,2020-W06,Paid,98,Z,No,F,D,31,3,0,
1503,8209,20200203,2020-W06,Paid,18,Z,Yes,B,O,1,0,0,
